Isaako Aaitui 
Sam Baker 
Sean Baker 
Shannon Baker 
Stephen Baker 
Terry Baker 
Tim Baker 
Tony Baker 
Tony Baker 
Wayne Baker 
David Bakhtiari 
Eric Bakhtiari 
Jim Bakken 
Ed Balatti 
Frank Balazs 
Al Baldwin 
Alex Balducci 
Bob Baldwin 
Brian Baldinger 
Burr Baldwin 
Cliff Baldwin 
Daylen Baldwin 
Daniel Baldridge 
Doug Baldwin 
Don Baldwin 
Ervin Baldwin 
Gary Baldinger 
George Baldwin 
Jack Baldwin 
Jonathan Baldwin 
Johnny Baldwin 
Karl Baldischwiler 
Keith Baldwin 
Lou Baldacci 
Mike Baldassin 
Randy Baldwin 
Rich Baldinger 
Tom Baldwin 
Alan Ball 
Christian Ballard 
Corey Ballentine 
Dave Ball 
Eric Ball 
Gary Ballman 
Howard Ballard 
Jason Ball 
Jake Ballard 
Jerry Ball 
Josh Ball 
Kalen Ballage 
Lance Ball 
Larry Ball 
Lonnie Ballentine 
Marcus Ball 
Michael Ball 
Mike Ballou 
Montee Ball 
Neiron Ball 
Pat Ballage 
Quinton Ballard 
Sam Ball 
Vick Ballard 
Kentwan Balmer 
Bob Balog 
Mike Balogun 
Vic Baltzell 
Cas Banaszek 
John Banaszak 
Pete Banaszak 
Steve Banas 
Hugh Bancroft 
Bruno Banducci 
Don Bandy 
John Bandura 
Michael Bandy 
Romeo Bandison 
Herb Banet 
Joey Banes 
Tony Banfield 
Ben Bangs 
Chris Banjo 
Emil Banjavic 
Aaron Banks 
Antonio Banks 
Brandon Banks 
Brandon Banks 
Carl Banks 
Chuck Banks 
Chip Banks 
Chris Banks 
Eric Banks 
Estes Banks 
Fred Banks 
Gary Banks 
Gordon Banks 
Jason Banks 
Johnthan Banks 
Mike Banks 
Michael Bankston 
Robert Banks 
Roy Banks 
Tavian Banks 
Ted Banker 
Tony Banks 
Tom Banks 
Warren Bankston 
Willie Banks 
Alex Bannister 
Bruce Bannon 
Justin Bannan 
Zach Banner 
Ben Banogu  
Vince Banonis 
Al Bansavage 
Bradford Banta 
Jack Banta 
Tully Banta-Cain 
Joe Banyard 
Allen Barbre 
Ben Barber 
Bob Barber 
Chris Barber 
Dominique Barber 
Elmer Barbour 
Ernie Barber 
Gary Barbaro 
Jim Barber 
Joe Barbee 
Kantroy Barber 
Kurt Barber 
Marion Barber Jr. 
Marion Barber III 
Mark Barber 
Michael Barber 
Mike Barber 
Mike Barber 
Peyton Barber 
Pete Barbolak 
Ronde Barber 
Roland Barbay 
Rudy Barber 
Shawn Barber 
Stew Barber 
Tiki Barber 
Chris Barclay 
Don Barclay 
Luq Barcoo 
Brandon Barden 
Ramses Barden 
John Barefield 
Ken Barefoot 
Ken Barfield 
Jake Bargas 
Adrian Baril 
Carl Barisich 
Bryan Barker 
Chris Barker 
Dick Barker 
Ed Barker 
Hub Barker 
Jerome Barkum 
Joe Barksdale 
Leo Barker 
Matt Barkley 
Ralph Barkman 
Rashad Barksdale 
Rod Barksdale 
Roy Barker 
Saquon Barkley 
Tony Barker 
Will Barker 
Corey Barlow 
Kevan Barlow 
Lou Barle 
Reggie Barlow 
Christian Barmore 
Adairius Barnes 
Al Barnes 
Amare Barno 
Antwan Barnes 
Benny Barnes 
Billy Ray Barnes 
Bill Barnett 
Brooks Barnard 
Brandon Barnes 
Bruce Barnes 
Buster Barnett 
Charlie Barnes 
Charles Barnard 
Darian Barnes 
Dan Barnhart 
Derek Barnett 
Derrick Barnes 
Derrick Barnes 
Dean Barnett 
Doug Barnett 
Earnest Barnes 
Eddie Barnikow 
Emery Barnes 
Eppie Barney 
Erich Barnes 
Ernie Barnes 
Fred Barnett 
Gary Barnes 
Gary Barnidge 
George Barna 
Harlon Barnett 
Jeff Barnes 
Johnnie Barnes 
Joe Barnes 
Kalon Barnes 
Kenjon Barner 
Kevin Barnes 
Khalif Barnes 
Krys Barnes 
Larry Barnes 
Larry Barnes 
Lem Barney 
Lew Barnes 
Len Barnum 
Lionel Barnes 
Marlon Barnes 
Malcolm Barnwell 
Mike Barnes 
Mike Barnes 
Milton Barney 
Nick Barnett 
Oliver Barnett 
Pat Barnes 
Pete Barnes 
Pete Barnum 
Rashidi Barnes 
Reggie Barnes 
Rodrigo Barnes 
Roosevelt Barnes 
Roy Barni 
Solon Barnett 
Steve Barnett 
T.J. Barnes 
Tavaris Barnes 
Tim Barnett 
Tim Barnes 
Tom Barnett 
Tom Barndt 
Tomur Barnes 
Tommy Barnhardt 
Troy Barnett 
Vincent Barnett 
Walt Barnes 
Walt Barnes 
Alex Barrett 
Alex Barron 
Al Barry 
Anthony Barr 
Bob Barrabee 
Bob Barrett 
Dave Barr 
Dave Barrett 
David Barrett 
Emmett Barrett 
Fred Barry 
Jan Barrett 
Jean Barrett 
Jeff Barrett 
Jim Barron 
John Barrett 
Johnny Barrett 
Josh Barrett 
Kevin Barry 
Lamin Barrow 
Mark Barron 
Micheal Barrow 
Mike Barr 
Nate Barragar 
Napoleon Barrel 
Norm Barry 
Odell Barry 
Paul Barry 
Reggie Barrett 
Sam Barrington 
Scott Barrows 
Sebastian Barrie 
Shaquil Barrett 
Shorty Barr 
Terry Barr 
Tom Barrington 
Alex Bars 
Brad Bars 
John Barsha 
Ben Bartch 
Brent Bartholomew 
Cody Barton 
Don Barton 
Doug Bartlett 
Earl Bartlett 
Ephesians Bartley 
Eric Barton 
Greg Barton 
Harris Barton 
Hank Bartos 
Connor Barth 
Jackson Barton 
Jim Barton 
Joe Bartos 
Joplo Bartu 
Kirk Barton 
Mike Bartrum 
Richard Bartel 
Rich Bartlewski 
Ron Bartell 
Sam Bartholomew 
Steve Bartkowski 
Steve Bartalo 
William Bartee 
Connor Barwin 
Dick Barwegen  
Carl Barzilauskas 
Fritz Barzilauskas 
Brett Basanez 
Brian Baschnagel 
Nick Basca 
Boogie Basham 
Idrees Bashir 
Mose Bashaw 
Tarell Basham 
Michael Basinger 
Myrt Basing 
Hank Baskett 
Rich Baska 
Michael Basnight 
Mike Basrak 
Anthony Bass 
Ben Bass 
Bill Bass 
David Bass 
Dick Bass 
Dick Bassi 
Don Bass 
Eric Bassey 
Essang Bassey 
Glenn Bass 
Henry Bassett 
Mike Bass 
Maurice Bassett 
Norm Bass 
Reds Bassman 
Robert Bass 
Tyler Bass 
Bert Baston 
Baron Batch 
Charlie Batch 
Don Batchelor 
Bill Bates 
Daren Bates 
D'Wayne Bates 
Houston Bates 
Jackie Bates 
Jessie Bates III 
John Bates 
Mario Bates 
Marv Bateman 
Michael Bates 
Patrick Bates 
Phil Bates 
Rashod Bateman 
Ryan Bates 
Solomon Bates 
Ted Bates 
Trevor Bates 
D'Anthony Batiste 
Michael Batiste 
Stan Batinski 
John Batorski 
Cameron Batson 
Ainsley Battles 
Arnaz Battle 
Bobby Batton 
Cliff Battles 
Danny Batten 
Jackie Battle 
Jim Battle 
Jim Battle 
Julian Battle 
Marco Battaglia 
Matt Battaglia 
Mike Battle 
Pat Batteaux 
Pat Batten 
Ralph Battle 
Ron Battle 
Tra Battle 
Greg Baty 
A.C. Bauer 
Hank Bauer 
Herb Bauer 
John Bauer 
Maxie Baughan 
Marcus Baugh 
Sammy Baugh 
Tom Baugh 
Harry Baujan 
Charlie Baumann 
Alf Bauman 
Bill Baumgartner 
Bob Baumhower 
Buddy Baumann 
Joe Billy Baumgardner 
Rashad Bauman 
Steve Baumgartner 
Zack Baun 
De'Vante Bausby 
Frank Bausch 
Jim Bausch 
David Bavaro 
Mark Bavaro 
Nick Bawden 
Bibbles Bawel 
Rob Baxley 
Brad Baxter 
Colin Baxter 
Fred Baxter 
Gary Baxter 
Jarrod Baxter 
Jimmy Baxter 
Lloyd Baxter 
Carl Bax 
Alex Bayer 
Evan Baylis 
John Bayley 
John Baylor 
Martin Bayless 
Raymond Baylor 
Rick Bayless 
Tim Baylor 
Tom Bayless 
Chris Bayne 
Craig Baynham 
Reaves Baysinger 
Winnie Baze 
Fred Beach 
Kelvin Beachum 
Pat Beach 
Sanjay Beach 
Walter Beach 
Zane Beadles 
Alyn Beals 
Bill Bealles 
Norm Beal 
Sam Beal 
Shawn Beals 
Autry Beamon 
Byron Beams 
Tim Beamer 
Willie Beamon 
Bubba Bean 
Robert Bean 
Ed Beard 
Tom Beard 
Aaron Beasley 
Chad Beasley 
Cole Beasley 
Fred Beasley 
John Beasley 
John Beasley 
Jon Beason 
Terry Beasley 
Tom Beasley 
Vic Beasley 
Bob Beattie 
C.J. Beathard 
Chuck Beatty  
Ed Beatty 
Pete Beathard 
Will Beatty 
Al Beauchamp 
Clayton Beauford 
Doug Beaudoin 
Joe Beauchamp 
Steve Beauharnais 
Aubrey Beavers 
Jim Beaver 
Scott Beavers 
Willie Beavers 
Gary Beban 
Nick Bebout 
Anthony Becht 
Brett Bech 
Hub Bechtol 
Andrew Beck 
Art Beckley 
Brad Beckman 
Braden Beck 
Carl Beck 
Clarence Beck 
Dave Becker 
Darry Beckwith 
Doug Becker 
Ed Beckman 
Ian Beckles 
Jack Beckett 
John Beck 
Jordan Beck 
Johnnie Becker 
John Beckwith 
Kendell Beckwith 
Ken Beck 
Kurt Becker 
Marty Beck 
Nate Becker 
Odell Beckham Jr. 
Ray Beck 
Rogers Beckett 
Tavante Beckett 
Tony Beckham 
Tom Beckman 
Travis Beckum 
Wayland Becker 
Mekhi Becton 
Nick Becton 
Brad Bedell 
Gene Bedford 
Vance Bedford 
Al Bedner 
Chuck Bednarik 
Tom Bedore 
Hal Bedsole 
Chad Beebe 
Don Beebe 
Keith Beebe 
Earl Beecham 
Willie Beecher 
